Mes,Temperatura
1,29.24
2,28.35
3,28.80
4,28.35
5,27.90
6,27.90
7,27.75
8,27.15
9,28.05
10,27.45
11,27.30
12,28.20
13,28.05
14,28.20
15,28.20
16,28.95
17,28.35
18,27.60
19,27.90
20,28.05
21,28.50
22,27.30
23,27.75
24,28.20
25,28.35
26,27.75
27,28.50
28,29.10
29,28.20
30,28.20
31,27.90
32,28.35
33,28.20
34,26.70
35,27.45
36,27.75
37,28.05
38, 27.60
39,27.60
40,28.20
41,28.05
42,28.20
43,28.05
44,28.35
45,27.90
46,27.45
47,27.30
48,28.05
49,28.50
50,28.20
51,28.20
52,28.35
53,28.35
54,27.60
55,27.15
56,27.45
57,27.45
58,27.00
59,26.70
60,27.15
61,27.60
62,27.45
63,27.60
64,28.50
65,27.90
66,27.30
67,27.45
68,27.90
69,27.00
70,26.40
71,27.30
72,27.60
73,27.50
74,27.45
75,27.90
76,28.95
77,27.45
78,28.35
79,28.20
80,28.05
81,28.50
82,27.10
83,28.20
84,28.80
85,29.30
86,29.70
87,29.55
88,30.00
89,30.15
90,28.65
91,28.20
92,28.80
93,27.75
94,27.70
95,27.60
96,27.90
97,28.35
98,29.10
99,28.95
100,29.40
101,29.90
102,29.70
103,30.10
104,28.05
105,28.20
106,27.00
107,26.85
108,27.75
109,28.80
110,29.40
111,29.25
112,29.85
113,28.80
114,30.45
115,29.50
116,28.80
117,29.40
118,28.05
119,29.25
120,29.80
121,29.25
122,29.40
123,28.95
124,28.75
125,28.25
126,28.05
127,28.35
128,30.10
129,28.80
130,28.65
131,28.95
132,29.55
133,29.85
134,29.55
135,29.25
136,30.15
137,30.45
138,29.70
139,30.30
140,30.00
141,28.95
142,28.50
143,28.65
144,28.95
145,29.40
146,29.55
147,29.25
148,29.85
149,30.00
150,30.75
151,29.90
152,30.60
153,30.15
154,29.55
155,29.70
156,30.75
157,30.75
158,30.00
159,30.15
160,30.00
161,30.70
162,29.85
163,28.80
164,29.25
165,29.55
166,27.75
167,28.80
168,28.95
169,28.95
170,29.85
171,28.35
172,29.70
173,28.95
174,29.40
175,29.55
176,29.70
177,28.95
178,29.95
179,27.75
180,28.65
181,29.85
182,29.10
183,29.55
184,29.70
185,29.55
186,28.50
187,27.75
188,28.20
189,28.80
190,29.10
191,30.15
192,29.55
193,29.25
194,29.55
195,29.25
196,30.00
197,28.65
198,28.95
199,28.85
200,28.95
201,30.45
202,27.50
203,29.25
204,29.00
205,29.70
206,29.85
207,28.95
208,29.85
209,29.55
210,28.95
211,28.00
